日期,北京,上海,郑州,武汉,西安,沈阳
2022/1/1,52,68,92,128,114,66
2022/1/2,32,98,102,163,150,51
2022/1/3,50,97,147,134,169,57
2022/1/4,58,72,142,158,232,45
2022/1/5,84,41,175,49,254,107
2022/1/6,79,36,158,34,223,110
2022/1/7,113,49,110,59,123,119
2022/1/8,73,58,119,108,139,135
2022/1/9,65,84,162,84,147,169
2022/1/10,33,149,219,99,145,55
2022/1/11,33,78,245,162,94,51
2022/1/12,36,77,217,144,63,87
2022/1/13,29,79,147,120,57,36
2022/1/14,92,52,97,108,88,70
2022/1/15,59,95,109,122,112,57
2022/1/16,32,109,130,133,143,38
2022/1/17,42,59,109,163,176,53
2022/1/18,70,54,215,226,180,69
2022/1/19,79,68,237,192,226,63
2022/1/20,55,48,105,192,210,78
2022/1/21,80,36,94,95,98,103
2022/1/22,130,67,158,49,140,179
2022/1/23,160,42,133,39,173,134
2022/1/24,198,74,127,60,179,144
2022/1/25,92,109,156,93,178,205
2022/1/26,30,60,217,60,179,77
2022/1/27,31,50,132,46,124,58
2022/1/28,30,35,110,57,117,52
2022/1/29,31,36,119,72,110,40
2022/1/30,117,36,127,82,113,73
2022/1/31,35,85,75,93,78,92
2022/2/1,36,107,57,135,114,44
2022/2/2,37,43,68,60,84,46
2022/2/3,39,40,79,69,123,38
2022/2/4,39,46,68,73,94,36
2022/2/5,38,63,53,83,51,38
2022/2/6,38,41,60,77,98,38
2022/2/7,36,40,54,35,109,42
2022/2/8,36,37,59,36,110,79
2022/2/9,55,38,80,48,108,95
2022/2/10,77,43,99,52,135,160
2022/2/11,69,53,80,69,169,109
2022/2/12,57,57,98,78,168,60
2022/2/13,68,58,137,57,175,74
2022/2/14,39,57,102,65,139,58
2022/2/15,35,68,79,93,182,38
2022/2/16,37,40,93,108,143,34
2022/2/17,38,43,74,40,105,64
2022/2/18,48,36,108,33,122,59
2022/2/19,37,37,120,48,42,38
2022/2/20,36,39,97,73,60,39
2022/2/21,36,53,52,80,77,43
2022/2/22,38,72,60,87,75,37
2022/2/23,35,45,87,77,103,61
2022/2/24,46,54,117,97,125,68
2022/2/25,84,52,97,97,105,138
2022/2/26,42,59,72,101,68,68
2022/2/27,53,65,92,83,96,67
2022/2/28,76,92,78,106,87,74
2022/3/1,38,117,84,89,143,35
2022/3/2,43,82,96,92,133,48
2022/3/3,61,78,105,99,110,51
2022/3/4,72,55,92,84,90,83
2022/3/5,40,86,140,89,105,67
2022/3/6,52,41,94,73,129,50
2022/3/7,53,50,101,49,111,89
2022/3/8,77,68,123,62,119,103
2022/3/9,134,64,107,59,128,122
2022/3/10,205,71,100,87,137,87
2022/3/11,120,73,114,87,133,63
2022/3/12,62,64,112,70,81,69
2022/3/13,80,59,110,65,90,68
2022/3/14,52,62,178,110,173,57
2022/3/15,69,57,181,139,164,49
2022/3/16,79,88,184,76,153,41
2022/3/17,41,32,50,42,71,39
2022/3/18,62,40,59,35,67,50
2022/3/19,44,69,74,55,95,46
2022/3/20,53,38,104,31,92,54
2022/3/21,42,45,105,27,98,75
2022/3/22,36,49,125,31,110,87
2022/3/23,75,56,56,37,105,92
2022/3/24,127,59,52,37,112,100
2022/3/25,95,45,50,35,74,64
2022/3/26,66,53,71,55,75,53
2022/3/27,46,64,71,66,127,52
2022/3/28,70,51,83,68,99,76
2022/3/29,77,63,80,57,93,51
2022/3/30,40,80,90,70,116,49
2022/3/31,44,48,50,68,93,50
2022/4/1,43,61,75,50,85,51
2022/4/2,44,65,68,68,74,54
2022/4/3,63,64,81,84,83,82
2022/4/4,93,71,92,82,92,97
2022/4/5,80,54,98,65,72,70
2022/4/6,58,94,92,75,77,50
2022/4/7,66,122,95,94,92,56
2022/4/8,119,101,102,83,95,105
2022/4/9,119,108,110,85,82,96
2022/4/10,128,84,110,101,93,98
2022/4/11,113,119,112,105,123,65
2022/4/12,69,90,99,83,89,48
2022/4/13,67,37,63,45,77,56
2022/4/14,46,36,59,42,65,92
2022/4/15,47,81,59,41,55,60
2022/4/16,49,76,75,55,44,59
2022/4/17,70,80,68,62,52,80
2022/4/18,95,78,74,64,73,90
2022/4/19,70,114,85,81,61,113
2022/4/20,102,134,88,62,73,110
2022/4/21,84,110,76,67,89,94
2022/4/22,54,98,93,56,95,55
2022/4/23,80,49,100,79,104,58
2022/4/24,111,48,102,79,85,69
2022/4/25,107,48,95,36,82,81
2022/4/26,71,38,102,64,80,89
2022/4/27,38,62,107,65,107,52
2022/4/28,42,68,63,36,59,64
2022/4/29,59,59,71,48,63,74
2022/4/30,45,63,64,39,55,66
2022/5/1,50,72,65,57,70,59
2022/5/2,74,96,86,80,73,64
2022/5/3,107,137,90,80,83,112
2022/5/4,130,108,90,86,101,94
2022/5/5,126,79,115,96,120,97
2022/5/6,54,85,117,110,152,51
2022/5/7,42,48,65,100,119,47
2022/5/8,36,64,51,101,83,62
2022/5/9,57,60,38,59,38,79
2022/5/10,70,54,85,48,75,66
2022/5/11,48,52,55,60,111,50
2022/5/12,49,48,54,54,65,44
2022/5/13,46,58,79,58,49,55
2022/5/14,47,75,59,53,48,46
2022/5/15,50,82,85,68,66,57
2022/5/16,60,115,77,82,85,54
2022/5/17,101,132,100,92,95,73
2022/5/18,70,109,101,80,75,95
2022/5/19,136,79,89,52,93,101
2022/5/20,153,39,112,64,117,107
2022/5/21,148,65,110,120,88,115
2022/5/22,163,89,109,93,109,86
2022/5/23,127,72,108,91,111,154
2022/5/24,127,62,117,100,129,120
2022/5/25,49,59,107,93,63,40
2022/5/26,48,42,113,91,105,30
2022/5/27,84,135,140,73,66,78
2022/5/28,178,76,113,55,130,150
2022/5/29,61,40,129,47,111,97
2022/5/30,61,77,110,81,102,44
2022/5/31,114,70,115,102,70,51
2022/6/1,91,80,150,44,134,109
2022/6/2,173,70,193,49,137,72
2022/6/3,200,48,112,36,131,95
2022/6/4,101,57,52,29,47,48
2022/6/5,50,30,155,90,99,51
2022/6/6,48,109,124,139,139,40
2022/6/7,77,70,141,157,139,38
2022/6/8,68,75,204,148,132,46
2022/6/9,60,90,164,103,89,70
2022/6/10,109,50,112,100,124,39
2022/6/11,73,63,135,96,139,75
2022/6/12,90,50,85,56,117,46
2022/6/13,55,40,105,90,100,49
2022/6/14,60,120,120,83,111,36
2022/6/15,90,145,179,110,164,47
2022/6/16,131,117,182,100,139,80
2022/6/17,145,139,140,91,140,113
2022/6/18,159,73,136,48,120,59
2022/6/19,151,73,144,23,75,108
2022/6/20,170,42,150,58,60,79
2022/6/21,172,57,135,44,68,42
2022/6/22,73,68,85,39,80,50
2022/6/23,81,63,138,47,128,41
2022/6/24,73,35,186,35,170,40
2022/6/25,205,92,107,48,110,62
2022/6/26,105,66,54,47,55,104
