月份,2018,2019,2020,2021,2022,2023
1月,874,981.5,1097.6,1245.8,1375.2,1506.5
2月,809.4,909,1016.5,1153.8,1270.3,1391.5
3月,782.5,882.1,990,1136.1,1255.7,1393.2
4月,780.2,880,985.1,1119.3,1232.3,1363.9
5月,835.7,944.3,1062.5,1209.7,1330.5,1473
6月,829.2,941.3,1058.3,1214,1342.9,1490.4
7月,815.7,925.7,1038.8,1216.9,1341.4,1480.5
8月,832.9,944.3,1056.7,1244.7,1377,1516.5
9月,911.3,1032.7,1152.1,1263.5,1398.8,1543.5
10月,946.7,1074.6,1198.4,1413.9,1556,1712
11月,923.8,1050.6,1173.7,1396.9,1547.9,1705.4
12月,1016.7,1153,1290.1,1431.8,1587.9,1736.7
