X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
13,80.75,8.38,9.81,53.38,30.25,19.63,2.72,16.69,4.81
12,110.25,11.10,9.70,45.40,40.95,18.10,2.51,14.62,3.59
13,93.25,9.62,11.31,50.63,38.31,18.75,2.70,16.10,4.67
12,65.25,6.10,8.05,51.10,21.35,18.50,2.76,9.61,4.18
14,92.00,10.00,11.90,40.30,41.25,18.44,2.19,14.37,4.31
13,86.25,9.90,10.59,42.00,34.41,19.30,2.18,15.41,3.20
10,75.00,7.60,9.10,52.30,27.85,19.00,2.75,11.30,4.02
10,77.25,10.63,8.06,50.88,31.75,17.88,2.85,11.50,3.13
12,75.25,5.80,8.72,48.30,30.21,17.50,2.76,11.97,4.67
15,72.50,12.80,8.68,37.00,29.88,17.80,2.03,12.78,3.18
14,87.00,8.20,10.07,50.90,37.78,19.20,2.65,14.41,3.44
9,80.25,8.90,9.60,41.80,33.25,17.30,2.42,10.82,4.11
8,79.75,9.11,9.28,40.11,33.50,17.22,2.33,11.43,4.17
9,80.75,5.40,10.63,44.20,30.41,18.50,2.39,9.42,4.46
10,69.75,14.80,7.01,40.30,29.45,17.80,2.26,13.74,3.65
9,78.75,7.70,8.14,50.71,30.86,19.14,2.65,13.71,4.25
5,75.75,5.67,10.48,45.67,27.52,19.17,2.38,8.43,4.14
11,96.50,9.00,10.57,48.00,43.43,18.43,2.65,12.54,3.95
11,72.00,14.67,9.78,54.67,32.12,17.50,3.12,14.30,4.03
12,66.00,6.70,8.15,49.20,24.40,18.60,2.65,11.97,4.63
8,79.25,8.20,8.84,37.00,34.30,16.80,2.20,11.94,3.78
10,76.00,8.10,9.28,47.10,31.71,16.90,2.79,13.28,4.47
11,71.75,7.80,10.34,46.60,31.26,18.60,2.51,12.46,4.28
11,72.50,8.70,8.04,41.00,30.17,17.70,2.32,12.25,4.21
9,95.75,8.10,9.82,31.50,38.38,15.70,2.01,14.30,4.67
10,79.75,6.75,10.56,57.00,33.69,19.13,2.98,12.56,4.68
10,73.00,5.67,8.94,45.22,36.48,17.33,2.61,7.11,4.26
9,75.50,11.25,8.81,39.63,29.69,17.50,2.26,14.24,4.17
8,75.75,5.10,6.15,47.60,23.55,18.10,2.63,7.21,3.55
9,74.25,21.00,9.35,49.50,30.23,16.75,2.96,17.60,3.36
